mark,product,side,n,avg_bps,std_bps,t_stat
Mark 67,VELVETFRUIT_EXTRACT,buy,165,3.707420764102834,3.6706652100031607,12.973856033531394
Mark 49,VELVETFRUIT_EXTRACT,sell,105,3.465819507896738,3.6700002860081846,9.676860788408394
Mark 22,VELVETFRUIT_EXTRACT,sell,101,2.9434230769376906,4.592777786081468,6.440772273635104
Mark 22,HYDROGEL_PACK,buy,11,-2.680162434902171,3.063898537683671,-2.9012361422699224
Mark 49,VELVETFRUIT_EXTRACT,buy,17,-3.4793054501980354,5.305869856181957,-2.703711976319863
Mark 55,VELVETFRUIT_EXTRACT,buy,598,0.3791938290730763,4.12368601591558,2.248672781437246
Mark 14,VELVETFRUIT_EXTRACT,sell,331,0.49830767872690085,4.202435413957372,2.1572999271407287
Mark 01,VELVETFRUIT_EXTRACT,buy,260,0.5552617143069424,4.214516897904903,2.124401523092763
Mark 22,HYDROGEL_PACK,sell,8,3.1827180212506985,5.078275575664653,1.7726659074711182
Mark 14,HYDROGEL_PACK,sell,507,-0.1710415909578696,4.184084821934512,-0.9204606499643392
Mark 22,VELVETFRUIT_EXTRACT,buy,25,-0.752235219723983,5.718193242488417,-0.6577560322153686
Mark 38,HYDROGEL_PACK,buy,515,-0.1189443542633676,4.219861447400113,-0.6396600911625854
Mark 55,VELVETFRUIT_EXTRACT,sell,600,0.09906480574876177,4.175964164772066,0.58108311273223
Mark 14,HYDROGEL_PACK,buy,496,0.07365918235249097,4.513480679495867,0.3634595999141002
Mark 14,VELVETFRUIT_EXTRACT,buy,316,-0.0643208405523333,4.0014019468282624,-0.28574791711062847
Mark 38,HYDROGEL_PACK,sell,507,0.01391157329962847,4.504903989966749,0.06953359576229028
Mark 01,VELVETFRUIT_EXTRACT,sell,244,-0.00411713682892102,4.020036214948216,-0.015997799454728526
