group,product_a,product_b,ratio_mean,ratio_std,ratio_cv,adf_pval,z_sign_changes,z_extreme_frac,z_acf1,level_corr,statarb_score
SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,1.0368029705496349,0.021327355044917222,0.020570306654899978,,2432,0.13298387366031184,0.945247202009971,0.4704377189549732,0.45066540627055574
SNACKPACK,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,1.002212084974185,0.024262788915560263,0.024209236028305554,,2471,0.13224934058962973,0.9445289705600013,0.021945499092387553,0.4489895878738469
SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.97699793895671,0.025217026039909895,0.025810725933401626,,2349,0.1333511401956529,0.9483419178057829,0.04608087579304326,0.4474262534721426
SNACKPACK,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,1.0638705838889448,0.03241086805629011,0.030465047673198384,,2323,0.13268338285866915,0.9483138002860618,-0.3131414587265657,0.4451047161061884
SNACKPACK,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,0.9426753051606194,0.029818915475323077,0.03163222300624745,,2309,0.125872258021435,0.94644730592186,-0.49736120952098894,0.4448944273125042
SNACKPACK,SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.9440426500772964,0.03240067548826671,0.034321198820428084,,2419,0.1325832192581216,0.9478334055051014,0.2843287635158793,0.4432727194887657
SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,0.9754811811002798,0.03637112100257889,0.03728531283561474,,2279,0.1328169343260659,0.9483012188849822,-0.9258729584924166,0.4416970998051962
ROBOT,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.9342363881716107,0.03679303298690488,0.03938300140386561,,2428,0.1341524490000334,0.947572129360858,0.7874170941198319,0.4407940734258956
SLEEP_POD,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,1.0274154544007155,0.04239401892336458,0.04126278103154748,,2378,0.13545457580715167,0.9467602895279124,0.8752369904278973,0.4400165515786437
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,0.9637339305131178,0.04177853688347615,0.043350696245832224,,2301,0.13638943607892892,0.9474813688736826,0.8596166475986888,0.4388283781023473
SNACKPACK,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,1.0629471507237576,0.046443322995617375,0.04369297472973539,,2345,0.12677373042636306,0.9467816768746318,-0.4136109437043137,0.43879717726020595
SNACKPACK,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,0.8882316827139689,0.041999686349322496,0.047284607345905005,,2361,0.13061333511401957,0.9445305373570011,-0.4412373627927466,0.4374515888556473
SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,0.9208036193687514,0.0448214631259465,0.048676462801779,,2511,0.130513171513472,0.9442548916527524,-0.5410357062745232,0.43681079026855996
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,0.9055655299749581,0.04384403975496434,0.04841619772803938,,2359,0.13762478715234883,0.9475680234225652,0.46729210007453414,0.4362782964514672
SLEEP_POD,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,1.1124495684224953,0.05208604137365104,0.046821036074032055,,2216,0.13782511435344397,0.9517088297498331,0.4931730176167579,0.43624771601301726
UV_VISOR,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.9396531497678912,0.04645574625981535,0.04943924922860168,,2423,0.12907749323895695,0.9469107011410808,0.584386474025537,0.43589823515748294
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,0.9234701018597513,0.048248185519161574,0.0522466135308505,,2410,0.12987880204333746,0.944748771737579,-0.022533526267267862,0.4349269388870589
ROBOT,ROBOT_VACUUMING,ROBOT_IRONING,1.0574737113192092,0.05826201149254999,0.05509547033549188,,2600,0.1313144803178525,0.9390790589125604,0.7842396148598818,0.43463645304974197
ROBOT,ROBOT_LAUNDRY,ROBOT_IRONING,1.1330430287946827,0.06670867902308941,0.05887568020612005,,2472,0.1348869820707155,0.9401792677597929,0.7371413320197866,0.43252630634498135
ROBOT,ROBOT_MOPPING,ROBOT_DISHES,1.109526638198194,0.07427057574453301,0.06693897486332014,,2500,0.12727454842910085,0.9213691039859149,0.4391419773728339,0.4322566917711569
UV_VISOR,UV_VISOR_ORANGE,UV_VISOR_RED,0.9439933584376616,0.053779218573973976,0.0569699120160975,,2323,0.13388534606523989,0.9471638649406131,0.41600878367269883,0.43208227100382857
SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_COTTON,0.9901892044240931,0.059558586353647885,0.06014869288368775,,2400,0.13562151514139761,0.9451649656043972,0.7009587499324816,0.43089266043727664
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,0.9824859822783159,0.060698007548759904,0.06178002398365572,,2417,0.13275015859236752,0.9471821665488429,-0.015680856778283545,0.4296735546984036
TRANSLATOR,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,0.9755076662399976,0.060644293421354856,0.062166906032735315,,2332,0.1317819104537411,0.9464465359464369,-0.037515952698875525,0.4296272397943449
OXYGEN_SHAKE,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_CHOCOLATE,0.9730475889152377,0.06422676500335733,0.06600577991766869,,2385,0.12664017895896632,0.9372275553972313,0.11379929253511398,0.42955159896171935
UV_VISOR,UV_VISOR_RED,UV_VISOR_MAGENTA,0.9978884624181485,0.06451348581544385,0.06464999671317027,,2390,0.1364895996794765,0.9469090739705134,0.31284241045453437,0.42829318684931217
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.9538168836936703,0.06300501839697036,0.06605567533359492,,2445,0.13625588461153218,0.9458156562001978,0.4342114192405969,0.42780903109316293
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,0.8043926819532514,0.05594152644628289,0.06954504646964706,,2579,0.1267069546926647,0.9408667094232549,0.6458024937318279,0.42705413488052546
TRANSLATOR,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ASTRO_BLACK,1.0071691724892802,0.06866367319258697,0.06817491546418215,,2402,0.13762478715234883,0.947295284258935,0.20771164557781902,0.42645348541612194
PANEL,PANEL_1X2,PANEL_4X4,0.9043035321271413,0.06214050058682809,0.0687164191879894,,2329,0.1351874728723582,0.9487776483323461,0.2800521095335177,0.42588626073953606
PANEL,PANEL_2X2,PANEL_1X4,1.022863188304366,0.07161424023423302,0.07001350821212982,,2476,0.13345130379620046,0.9458510097749904,0.6442909494543253,0.425823043938937
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,0.9311952951880287,0.06478942461015866,0.06957662366311275,,2435,0.13261660712497078,0.9472261529581899,0.09792529661017588,0.42576645757680565
UV_VISOR,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.9881823342376823,0.06910115501357354,0.06992753525277351,,2414,0.13017929284498014,0.9469082704329941,0.28456416007924556,0.4256545782870145
TRANSLATOR,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL,0.962648147963548,0.06712733407499413,0.06973195161388915,,2310,0.13218256485593136,0.9483590107216827,-0.1508890114030043,0.42546222204871886
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,0.957978309756023,0.06751991858594618,0.07048167781913776,,2363,0.13548796367400087,0.9479450414479978,-0.19684840661582184,0.4251701528008316
TRANSLATOR,TRANSLATOR_SPACE_GRAY,TRANSLATOR_GRAPHITE_MIST,0.9374100575472873,0.06628402136289867,0.07070973991502645,,2328,0.13679009048111915,0.9492248198716661,0.029648211786743945,0.4248001660681535
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_MINT,1.0184414864495794,0.07370763107726953,0.0723729660053657,,2343,0.13555473940769924,0.9470064434309947,0.2408539371663792,0.42441222831111813
