product,group,mean_mid,std_mid,cv,std_chg,lag1_acf,ema_thresh,slope,mean_spread,trade_count,mean_trade_qty,regime,mr_score,stab_score,spread_score,mr_score_n,stab_score_n,spread_score_n,composite_score
SNACKPACK_PISTACHIO,SNACKPACK,9495.843916666667,187.4919103490238,0.019744628491623232,5.237778497976802,-0.025157245327611363,17.76532319808539,-0.017180288566975736,15.925633333333334,733,2.4624829467939975,RANDOM_WALK,0.025157245327611363,50.644121073392725,3.040531457936504,0.13773236781037246,0.8395959249012457,0.9999999996193533,0.5989515207444233
SNACKPACK_VANILLA,SNACKPACK,10097.302466666666,178.51165124602434,0.01767914270522539,6.512833218719885,-0.026950914909002477,22.174383571444924,0.00898737524287658,16.868666666666666,733,2.4624829467939975,RANDOM_WALK,0.026950914909002477,56.560629440193864,2.5900654154808573,0.14521872249277076,0.9486853536494222,0.8285315870335036,0.597260259532782
SNACKPACK_RASPBERRY,SNACKPACK,10077.812066666667,169.81101750003018,0.016849988507098325,8.09161544260848,-0.016882420586119752,27.54698299290776,0.0006687217569672394,16.842466666666667,733,2.4624829467939975,RANDOM_WALK,0.016882420586119752,59.34369960425521,2.0814712098782073,0.10319519686640963,0.999999999981562,0.6349368809605498,0.5500122989802481
SNACKPACK_CHOCOLATE,SNACKPACK,9843.37165,200.72997995137024,0.02039240080418687,6.575374329743012,-0.03107989709431645,22.223478580932724,-0.015579135076753103,16.471166666666665,733,2.4624829467939975,RANDOM_WALK,0.03107989709431645,49.03547032698415,2.504977410515426,0.16245212235485174,0.8099353920157121,0.7961431187219195,0.5474940158279198
ROBOT_DISHES,ROBOT,10018.3149,556.6298319541662,0.055561223370425926,17.77902658770192,-0.23174954304851614,40.47770298992747,0.05621274054201698,7.350266666666666,733,2.4624829467939975,MEAN_REVERT,0.23174954304851614,17.997839887240175,0.4134234355849124,0.9999999958262353,0.23765911613522717,0.0,0.4831806889778236
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,9271.895,399.8148312344103,0.043121156056492256,10.982764386993614,-0.12268923508719001,32.57564228349056,0.004416196336908754,11.860466666666667,733,2.4624829467939975,MEAN_REVERT,0.12268923508719001,23.189935092529886,1.0799162368261528,0.5448079383588551,0.33339171124646105,0.2536982854595173,0.3980348456446827
SNACKPACK_STRAWBERRY,SNACKPACK,10706.6085,363.56705096091514,0.03395725648891665,8.132793290845564,-0.014137285927497089,27.78816267360926,0.03532687911836598,17.826466666666665,733,2.4624829467939975,RANDOM_WALK,0.014137285927497089,29.44791939852335,2.19192395985381,0.09173765088435928,0.44877732227450456,0.6769803557601471,0.3630122120898571
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,9556.879133333334,560.5922548441504,0.05865850629928622,10.89015626110255,-0.08906827565245932,33.51556235736153,0.03852186939080398,12.185466666666667,733,2.4624829467939975,MEAN_REVERT,0.08906827565245932,17.047535226394636,1.1189431313531808,0.40448196656213753,0.22013726267684702,0.26855374407794086,0.3059792645812367
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10226.661816666667,330.6950046347335,0.03233655425036065,10.245315814898172,-0.012037205396321258,35.21430526809454,0.0039534840225058645,13.050833333333333,733,2.4624829467939975,RANDOM_WALK,0.012037205396321258,30.923798140635427,1.2738340423358636,0.08297240901311773,0.4759897859265475,0.32751245822517155,0.2816635032358316
ROBOT_IRONING,ROBOT,8701.570266666668,771.0168777201068,0.08860663697374958,10.443359285829368,-0.1252869712654215,31.184976489935444,-0.07791719722546286,6.392933333333334,733,2.4624829467939975,MEAN_REVERT,0.1252869712654215,11.285708931570475,0.6121529046554036,0.5556502777748226,0.11389988412845342,0.075645716622249,0.28103649971045
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,11092.5717,450.1429281081473,0.04058057412494771,11.09408025364688,-0.012132088976182811,38.088285787596035,-0.005367379521073165,14.071533333333333,733,2.4624829467939975,RANDOM_WALK,0.012132088976182811,24.641725254941388,1.2683820328706983,0.08336843074407016,0.36016002621553483,0.32543716881312457,0.2407626736763464
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,9813.741883333334,355.63088615040135,0.036238051741952666,9.856930521189359,-0.007414656072252829,33.53881545708191,0.004481296817759656,8.700433333333333,733,2.4624829467939975,RANDOM_WALK,0.007414656072252829,27.59454102498867,0.8826715813770329,0.06367897607770635,0.41460446634521647,0.1786177582425662,0.21523759321254984
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10437.543966666666,541.1017370762473,0.05184186421674577,10.538922742148904,-0.007834309152567207,36.834697856465404,0.04157244154552716,13.301266666666667,733,2.4624829467939975,RANDOM_WALK,0.007834309152567207,19.28905771523692,1.2621086357680122,0.06543050926720152,0.26146677540196855,0.3230492209073195,0.19844788032439947
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,9838.394083333333,508.12265409707896,0.05164691003360608,9.883082977946238,-0.0031222403643730665,34.739054714238776,-0.020547784692495866,12.593566666666666,733,2.4624829467939975,RANDOM_WALK,0.0031222403643730665,19.361867679627764,1.274254746268349,0.04576344315744399,0.26280925595471166,0.327672597788808,0.19220676629432865
UV_VISOR_RED,UV_VISOR,11063.293583333334,587.7055799325258,0.05312211734287648,11.030039299207454,-0.0030561131708511592,37.83861937300717,0.04723968371193648,14.039433333333333,733,2.4624829467939975,RANDOM_WALK,0.0030561131708511592,18.824196508379313,1.272836086949031,0.0454874438150943,0.2528955978831743,0.3271325898002868,0.18849158423522042
SLEEP_POD_LAMB_WOOL,SLEEP_POD,10701.441716666666,413.16216303212764,0.03860808421622851,10.712015814688431,0.003589365334098797,38.60662708484415,0.0069449671978300325,9.4001,733,2.4624829467939975,RANDOM_WALK,-0.003589365334098797,25.900640232737537,0.8775284955780207,0.017750780586561102,0.383372080903215,0.1766600596046355,0.18544555545190855
UV_VISOR_MAGENTA,UV_VISOR,11111.7929,613.5438994423491,0.055215562867658295,11.203151453826594,-0.003019484649587062,38.26921516296261,0.05819788506711108,14.0916,733,2.4624829467939975,RANDOM_WALK,0.003019484649587062,18.11050793575789,1.2578245326998845,0.04533456498806857,0.23973650575237643,0.32141849121137717,0.18239622581140347
